customer_state,Total_Orders,Late_Pct,Avg_Delay_Days,Avg_Review_Score,DPRS
AL,397,23.9,7.707808564231738,3.8477157360406093,28.3
MA,717,19.7,8.571827057182706,3.832865168539326,37.0
RR,41,12.2,16.29268292682927,3.902439024390244,39.5
SE,335,15.2,9.02089552238806,3.907185628742515,46.6
CE,1279,15.3,9.80453479280688,3.9442262372348784,49.9
PI,476,16.0,10.306722689075631,3.9936305732484074,52.0
BA,3256,14.0,9.79453316953317,3.930628677609167,54.6
RJ,12350,13.5,10.761214574898785,3.965440995823438,56.3
PA,946,12.4,13.066596194503171,3.9142550911039655,56.8
AP,67,4.5,18.686567164179106,4.242424242424242,66.0
ES,1995,12.2,9.496240601503759,4.078720162519045,66.4
PB,517,11.0,12.261121856866538,4.076171875,69.2
PE,1593,10.8,12.293785310734464,4.082963901203294,69.4
RN,474,10.8,12.649789029535865,4.150743099787686,71.4
TO,274,12.8,11.13138686131387,4.153846153846154,72.0
MS,701,11.6,10.052781740370898,4.161659513590844,73.8
SC,3546,9.8,10.503384094754653,4.133560670645069,76.8
GO,1957,8.2,11.185487991824221,4.105858170606372,77.8
AC,80,3.8,19.725,4.0875,80.7
MT,886,6.8,13.363431151241535,4.145620022753128,82.8
DF,2080,7.1,11.048076923076923,4.131400966183575,83.8
RS,5344,7.1,12.910366766467066,4.184754036800601,84.5
AM,145,4.1,18.56551724137931,4.243055555555555,86.5
MG,11354,5.6,12.242998062356879,4.192290651307045,89.7
SP,40494,5.9,10.075542055613177,4.2457904932200865,91.9
PR,4923,5.0,12.314239284988828,4.239795918367347,93.5
RO,243,2.9,19.102880658436213,4.1652892561983474,95.7
